game,game_id,home_team,away_team,home_rating,away_rating,home_win_prob,away_win_prob
1,game_1,brazil,kazakhstan,1597.6526758643993,1439.6259518928277,0.7576674213419267,0.24233257865807334
2,game_2,netherlands,mongolia,1567.7300324738353,1415.7227309173834,0.7512486481483746,0.24875135185162545
3,game_3,peru,rwanda,1568.5623438989815,1431.7224416953836,0.7345774412442273,0.2654225587557727
4,game_4,thailand,oman,1568.5133068980901,1456.8677779555119,0.7053574639323269,0.2946425360676731
5,game_5,pakistan,germany,1563.5451935661945,1474.0288628774595,0.6782095886666105,0.3217904113333895
6,game_6,india,usa,1525.575899518627,1444.9765696982245,0.6669062607181425,0.3330937392818575
7,game_7,panama,switzerland,1519.1181461937201,1463.211653167324,0.6346185313449598,0.3653814686550402
8,game_8,iceland,canada,1518.4301028286002,1475.684960842786,0.6168783613760719,0.3831216386239281
9,game_9,china,france,1560.4925042234554,1493.8156784073985,0.6488712095946829,0.3511287904053171
10,game_10,philippines,morocco,1494.97535477657,1484.3114174807088,0.5723988247667575,0.4276011752332425
11,game_11,ethiopia,saudi_arabia,1503.3648269187302,1481.214896426321,0.5884989955175634,0.41150100448243665
12,game_12,singapore,new_zealand,1469.7360046518575,1509.6926226628748,0.5000624317003854,0.49993756829961455
13,game_13,guatemala,south_korea,1509.3572578123344,1497.6341367858477,0.5738904908344351,0.4261095091655649
14,game_14,uk,mexico,1535.014463851311,1508.2002594573507,0.5949853339731775,0.40501466602682246
15,game_15,vietnam,serbia,1460.4575842095478,1510.9380485264417,0.48492197252131086,0.5150780274786891
16,game_16,indonesia,uae,1493.4520203950653,1456.3742731248367,0.6091391650041791,0.3908608349958209
