disparity_rank,team,first_xg60_raw,second_xg60_raw,ratio_raw,first_xg60_adj,second_xg60_adj,ratio_adj
1,usa,0.045368465545414904,0.03325383603080835,1.3643077298926607,0.045435582593361945,0.03302569600012605,1.3757645741421627
2,saudi_arabia,0.03717269050887193,0.02727699477149861,1.3627854102063035,0.037303146596804865,0.027286747535264076,1.3670792588451988
3,guatemala,0.04645436900055502,0.034268251828818916,1.3556095371485457,0.04652845671141809,0.03422063916868186,1.3596606563094278
4,uae,0.033040725069329695,0.024380259465871468,1.3552245051198704,0.03305024353566853,0.024348084913742758,1.357406286890926
5,france,0.04237836898557432,0.03162549789551278,1.340006381103876,0.04245042516380433,0.03157623321346401,1.3443790105307303
6,iceland,0.042902740570309884,0.03240199882787899,1.324076974331471,0.042963266347156456,0.032478861039173454,1.3228070496480013
7,singapore,0.04356999710923519,0.034716955601739374,1.2550062744284025,0.04359149423905898,0.03474128044518354,1.2547463329061728
8,new_zealand,0.04029315492442559,0.032889198761150255,1.2251181677317453,0.040314999863472124,0.032835289417640426,1.2277948688283313
9,peru,0.039546058772720445,0.03301506586814337,1.1978185635206897,0.03954519485420181,0.032920628260059925,1.2012284377385034
10,panama,0.04219693523960354,0.035194670503112514,1.1989580989505717,0.04220785405191843,0.035194457589892786,1.1992755945765667
11,rwanda,0.0387294433932148,0.03246019660445668,1.1931364392259218,0.03868680837067448,0.03243484906534902,1.1927543825694749
12,india,0.04013824011285428,0.03440128632935517,1.1667656763928527,0.040340155941872846,0.03445484902753248,1.1708121521483807
13,uk,0.04514034802226998,0.03871987942966045,1.1658184035483148,0.04510406967739328,0.03870539964163422,1.1653172450098204
14,netherlands,0.03558094003378156,0.03194610096478527,1.1137803662801615,0.03558681526494626,0.031960961636806125,1.113446324592581
15,serbia,0.04656014806940005,0.04189439190526901,1.1113694686076643,0.046635551048879384,0.041907339245014996,1.1128253878448469
16,south_korea,0.045148671852852915,0.040798312499512324,1.106630865023954,0.04521361028026112,0.04075914999557109,1.1092873694660967
17,mexico,0.04252607289229208,0.04015274256475434,1.0591075522104192,0.04262170822612002,0.0401245924235069,1.0622340477943446
18,china,0.04159967432047221,0.03955045053596461,1.0518129062182027,0.04162063282429678,0.03934772413650735,1.0577646798555396
19,mongolia,0.027377679482085148,0.0261863976920735,1.045492388988358,0.027379493202530098,0.02610069770294031,1.0489946864311497
20,pakistan,0.04942915536768601,0.04776330738853894,1.0348771488037027,0.049539032073032285,0.047800987681816606,1.0363600100229065
21,canada,0.03939201405301583,0.03897783986832674,1.0106258886097392,0.03940825020447396,0.03892873888453005,1.0123176689942674
22,philippines,0.03057377663227399,0.030561638090488195,1.0003971823025275,0.030544740807197983,0.030436484648632772,1.0035567891566635
23,kazakhstan,0.02781066977155242,0.02776630706777139,1.0015977171063026,0.027749071964953635,0.027682134692458546,1.0024180675818084
24,morocco,0.03848445672802811,0.038523246018267926,0.9989930939303137,0.038509716767565344,0.03845972848241281,1.0012997565798052
25,oman,0.04100178456675368,0.04173713526920824,0.982381380568851,0.04111201195289499,0.04176609277767429,0.9843394298753047
26,brazil,0.044707594971630356,0.04562118292996373,0.9799744789665826,0.04489890547299245,0.04579364527131996,0.9804614855832873
27,thailand,0.047150282268677846,0.04826343777268964,0.9769358430442829,0.04713139096617905,0.048395884479251805,0.9738718792583516
28,indonesia,0.03006089907051266,0.03131248099830161,0.9600292954155617,0.030112529656209842,0.03131701033954675,0.961539091047401
29,germany,0.036130194908069506,0.037792935881511676,0.9560039215091627,0.03608987851933766,0.03777148917215912,0.9554793657947447
30,vietnam,0.03342423394908087,0.03538149448071432,0.9446812363253815,0.033511173963716175,0.03530423526829485,0.9492111558017816
31,ethiopia,0.036995373819079316,0.04084598906347081,0.9057284366793518,0.03698762268979842,0.04088507586577503,0.9046729621152746
32,switzerland,0.02841783547335623,0.03196768846118074,0.8889549680098017,0.028451359256198225,0.03195043893310747,0.8904841437629374
