game,game_id,home_team,away_team,home_rating,away_rating,home_win_prob,away_win_prob
1,game_1,brazil,kazakhstan,1595.4550549187181,1441.0530547226458,0.7538157748343558,0.2461842251656442
2,game_2,netherlands,mongolia,1566.445547499537,1416.9335833211035,0.7485546528179736,0.2514453471820264
3,game_3,peru,rwanda,1567.008242981877,1433.0645014277081,0.7313142281821452,0.2686857718178548
4,game_4,thailand,oman,1566.542381053621,1457.7583601275692,0.7019225402526122,0.29807745974738775
5,game_5,pakistan,germany,1561.9260136335781,1474.1963242330737,0.6759609329117336,0.32403906708826635
6,game_6,india,usa,1524.7824463004572,1446.7029267341256,0.6636762804242405,0.33632371957575946
7,game_7,panama,switzerland,1518.6322101094622,1464.3255942739127,0.6324803856041914,0.3675196143958086
8,game_8,iceland,canada,1519.092159464218,1476.2455233692792,0.6170164325710982,0.3829835674289018
9,game_9,china,france,1558.7922432792013,1493.900744456879,0.6465261193820319,0.35347388061796814
10,game_10,philippines,morocco,1495.5789210371368,1484.7252540388888,0.5726661218772968,0.4273338781227032
11,game_11,ethiopia,saudi_arabia,1503.903760973066,1481.9879123298492,0.588172639375974,0.41182736062402603
12,game_12,singapore,new_zealand,1470.5809794082484,1509.2947317459987,0.5018510507264928,0.49814894927350717
13,game_13,guatemala,south_korea,1509.4731809695236,1497.7527931750656,0.573886643296076,0.42611335670392403
14,game_14,uk,mexico,1533.4464848765776,1506.6808864016637,0.5949179070400368,0.4050820929599632
15,game_15,vietnam,serbia,1461.4150560863045,1510.6725610728558,0.48668053137417,0.51331946862583
16,game_16,indonesia,uae,1494.6214912537594,1457.0090747240954,0.6098717084552768,0.39012829154472317
